id;City;State
1;ABERDEEN;SOUTH DAKOTA
2;ABILENE;TEXAS
3;ADAK ISLAND;ALASKA
4;AGUADILLA;PUERTO RICO
5;AKRON;OHIO
6;ALBANY;GEORGIA
7;ALBANY;NEW YORK
8;ALBUQUERQUE;NEW MEXICO
9;ALEXANDRIA;LOUISIANA
10;ALLENTOWN/BETHLEHEM/EASTON;PENNSYLVANIA
11;ALPENA;MICHIGAN
12;AMARILLO;TEXAS
13;ANCHORAGE;ALASKA
14;APPLETON;WISCONSIN
15;ARCATA/EUREKA;CALIFORNIA
16;ARLINGTON;VIRGINIA
17;ASHEVILLE;NORTH CAROLINA
18;ASHLAND;WEST VIRGINIA
19;ASPEN;COLORADO
20;ATLANTA;GEORGIA
21;ATLANTIC CITY;NEW JERSEY
22;AUGUSTA;GEORGIA
23;AURORA;OREGON
24;AUSTIN;TEXAS
25;BAKERSFIELD;CALIFORNIA
26;BALTIMORE;MARYLAND
27;BANGOR;MAINE
28;BARROW;ALASKA
29;BATON ROUGE;LOUISIANA
30;BEAUFORT;NORTH CAROLINA
31;BEAUMONT/PORT ARTHUR;TEXAS
32;BELLEVILLE;ILLINOIS
33;BELLEVILLE;PENNSYLVANIA
34;BELLINGHAM;WASHINGTON
35;BEMIDJI;MINNESOTA
36;BEND;OREGON
37;BEND/REDMOND;OREGON
38;BETHEL;ALASKA
39;BILLINGS;MONTANA
40;BINGHAMTON;NEW YORK
41;BIRMINGHAM;ALABAMA
42;BISMARCK/MANDAN;NORTH DAKOTA
43;BLOOMINGTON/NORMAL;ILLINOIS
44;BOISE;IDAHO
45;BOSTON;MASSACHUSETTS
46;BOZEMAN;MONTANA
47;BRAINERD;MINNESOTA
48;BRANSON;MISSOURI
49;BRISTOL/JOHNSON CITY/KINGSPORT;TENNESSEE
50;BROWNSVILLE;TEXAS
51;BRUNSWICK;GEORGIA
52;BUFFALO;NEW YORK
53;BURBANK;CALIFORNIA
54;BURLINGAME;CALIFORNIA
55;BURLINGTON;VERMONT
56;BUTTE;MONTANA
57;CAMBRIDGE;MASSACHUSETTS
