id_manufacturer,name
1,MOONEY
2,BIGHAM JACK L
3,EMBRAER-EMPRESA BRASILEIRA DE
4,QUEST AIRCRAFT COMPANY LLC
5,YABORA INDUSTRIA AERONAUTICA S
6,AMERICAN EUROCOPTER LLC
7,CENTRAIR
8,BYLER
9,BARD JOHN A
10,SOCATA
11,DIAMOND AIRCRAFT IND GMBH
12,RAYTHEON AIRCRAFT COMPANY
13,AIRBUS
14,ROBINSON HELICOPTER CO
15,BEER JOHN EDWARD
16,TREMBLE JASON M
17,BOEING
18,BOMBARDIER INC
19,CANADAIR
20,START & FLUG GMBH.
21,EMBRAER S A
22,MOONEY AIRCRAFT CORP.
23,BELTZ JOE M
24,DASSAULT
25,MCDONNELL DOUGLAS CORPORATION
26,NAKAMURA HISASHI
27,EMBRAER
28,CESSNA
29,AIRBUS SAS
30,CHRISTOPHER LORD
31,PIPER
32,GRUMMAN
33,DJI
34,WARREN RANDAL
35,AIRBUS INDUSTRIE
36,BENHAM JOHN
37,CIRRUS DESIGN CORP
38,MCDONNELL DOUGLAS AIRCRAFT CO
39,GULFSTREAM AEROSPACE CORP
40,C SERIES AIRCRAFT LTD PTNRSP
41,AIR TRACTOR INC
42,AIRBUS CANADA LTD PTNRSP
43,MCDONNELL DOUGLAS
44,PILATUS AIRCRAFT LTD
45,BETTS JOHN P
46,DIAMOND AIRCRAFT IND INC
