id_model;manufacturer_id;model
1;1;M20J
2;2;MARQUART M 5 CHARGER
3;2;MONTANA COYOTE
4;3;ERJ 170-200 LR
5;4;KODIAK 100
6;5;ERJ 170-200 LR
7;6;MBB-BK 117 C-2
8;7;101C
9;8;EVANS VP II
10;9;VANS RV-8A
11;10;TBM 700
12;11;DA 42
13;12;HAWKER 800XP
14;13;A350-941
15;13;A321-271NX
16;13;A321-253NX
17;13;A320-212
18;13;A321-271N
19;13;A320-232
20;13;A330-243
21;13;A330-223
22;13;A330-323
23;13;A330-941
24;13;A319-115
25;13;A321-231
26;13;A320-251N
27;13;A320-271N
28;13;A319-132
29;13;A321-211
30;13;A319-131
31;13;A330-302
32;13;A320-214
33;13;A321-253N
34;13;A319-111
35;13;A319-114
36;13;A320-211
37;13;A319-112
38;14;R66
39;15;JEB SUPER HI MAX
40;16;RV-7A
41;17;767-324
42;17;737-800
43;17;737-823
44;17;737-71Q
45;17;737-7CT
46;17;767-322
47;17;737-7BX
48;17;737-752
49;17;737-7L9
50;17;737-890
51;17;757-223
52;17;737-71B
53;17;777-223
54;17;767-3P6
55;17;737-73V
56;17;737-76N
57;17;737-7H4
58;17;757-324
59;17;737-76Q
60;17;767-424ER
61;17;MD-90-30
62;17;767-33A
63;17;737-8FH
64;17;737-924ER
65;17;767-432ER
66;17;737-732
67;17;777-232
68;17;767-3CB
69;17;737-924
70;17;787-10
71;17;737-700
72;17;757-28A
73;17;737-7BD
74;17;757-33N
75;17;767-332
76;17;717-200
77;17;777-323ER
78;17;757-2Q8
79;17;737-990
80;17;737-824
81;17;737-7V3
82;17;757-351
83;17;737-832
84;17;757-222
85;17;757-232
86;17;737-7AD
87;17;737-7K5
88;17;757-23N
89;17;777-224
90;17;757-26D
91;17;767-323
92;17;787-9
93;17;737-7K9
94;17;737-79P
95;17;737-79L
96;17;737-8
97;17;737-990ER
98;17;737-8H4
99;17;757-231
100;17;737-900ER
101;17;757-224
102;17;777-222
103;17;757-2B7
104;17;737-724
105;17;757-251
106;17;767-323ER
107;17;737-932ER
108;17;737-7BK
109;17;737-9
110;17;737-7Q8
111;17;777-232LR
112;17;737-790
113;17;737-705
114;17;777-300ER
115;17;787-8
116;17;737-8EH
117;18;CL-600-2C10
118;18;CL-600-2B19
119;18;CL-600-2D24
120;18;BD-100-1A10
121;19;CL-600-2B19
122;20;"H101 ""SALTO"""
123;21;ERJ 170-200 LR
124;21;ERJ 170-200 LL
125;22;M20S
126;23;KR-2
127;24;FALCON 900 EX
128;25;MD-88
129;26;TIERRA II
130;27;ERJ 190-100 IGW
131;27;ERJ 170-200 LR
132;27;EMB-145XR
133;27;ERJ 170-100 SE
134;27;EMB-145
135;27;EMB-145LR
136;27;EMB-135KL
137;27;ERJ 170-100 LR
138;27;ERJ 170-100SU
139;28;210M
140;28;182T
141;28;182R
142;28;310L
143;28;340A
144;28;T182T
145;28;510
146;29;A320-251N
147;29;A321-211
148;29;A320-271N
149;30;ELA 07 SCORPION
150;31;PA-32R-301
151;32;G-1159
152;33;INSPIRE 2
153;34;RV6A
154;35;A320-214
155;35;A319-114
156;35;A319-112
157;35;A320-212
158;35;A320-211
159;35;A330-223
160;35;A330-323
161;35;A321-211
162;35;A319-131
163;35;A321-231
164;35;A319-132
165;35;A320-232
166;36;DOMINATOR
167;37;SR22
168;37;SR22T
169;38;MD-88
170;38;MD 83
171;39;GVI(G650ER)
172;40;BD-500-1A10
173;41;AT-602
174;41;AT-502B
175;41;AT-802A
176;42;BD-500-1A10
177;43;DC-9-83(MD-83)
178;43;MD-90-30
179;43;DC-9-82(MD-82)
180;44;PC-12
181;45;FISHER CLASSIC
182;46;DA 40
