id_aircraft;n-number;company_id;model_id;engine_id;aircraft_type_id;year
1;215NV;83;32;1;1;2000
2;216NV;83;32;1;1;2000
3;217NV;83;32;1;1;2000
4;218NV;83;32;1;1;2000
5;219NV;83;32;1;1;2000
6;220NV;83;32;1;1;2000
7;221NV;83;32;1;1;2000
8;222NV;83;32;1;1;
9;223NV;83;32;1;1;
10;224NV;83;32;1;1;
11;225NV;83;32;1;1;1997
12;226NV;83;32;1;1;1997
13;227NV;83;32;1;1;1997
14;228NV;83;32;1;1;1997
15;229NV;83;32;1;1;1997
16;230NV;83;32;1;1;2001
17;231NV;83;32;1;1;2000
18;232NV;83;32;1;1;2000
19;233NV;83;32;1;1;2003
20;234NV;83;32;1;1;2001
21;235NV;83;32;1;1;
22;236NV;88;32;1;1;
23;237NV;88;32;1;1;
24;240NV;83;32;1;1;2000
25;241NV;83;32;1;1;2000
26;242NV;83;32;1;1;
27;243NV;83;32;1;1;
28;244NV;83;32;1;1;
29;245NV;83;32;1;1;
30;246NV;15;32;1;1;2017
31;247NV;83;32;1;1;2017
32;248NV;83;32;1;1;2017
33;249NV;83;32;1;1;2017
34;250NV;83;32;1;1;2017
35;251NV;15;32;1;1;2017
36;252NV;15;32;1;1;2017
37;253NV;15;32;1;1;2017
38;254NV;15;32;1;1;2017
39;255NV;15;32;1;1;2017
40;256NV;15;32;1;1;2018
41;257NV;15;32;1;1;2018
42;258NV;21;32;1;1;2009
43;259NV;21;32;1;1;2009
44;260NV;21;32;1;1;2009
45;261NV;21;32;1;1;2009
46;262NV;21;32;1;1;2009
47;271NV;15;32;1;1;2006
48;272NV;15;32;1;1;2007
49;273NV;15;32;1;1;2007
50;274NV;15;32;1;1;2007
51;275NV;83;32;1;1;
52;276NV;15;32;1;1;2019
53;277NV;83;32;1;1;2007
54;279NV;83;32;1;1;
55;280NV;37;32;1;1;
56;281NV;37;32;1;1;
57;282NV;83;32;1;1;
58;283NV;15;32;1;1;
59;301NV;83;37;1;1;2004
60;302NV;83;37;1;1;2005
61;303NV;83;37;1;1;2004
62;304NV;83;37;1;1;2004
63;305NV;83;37;1;1;2005
64;306NV;83;37;1;1;2005
65;307NV;83;37;1;1;2005
66;308NV;83;37;1;1;
67;309NV;83;34;1;1;2007
68;310NV;83;37;1;1;2004
69;311NV;83;34;1;1;2006
70;312NV;83;34;1;1;2004
71;313NV;83;34;1;1;2004
72;314NV;83;34;1;1;
73;315NV;83;34;1;1;
74;316NV;83;34;1;1;2005
75;317NV;83;34;1;1;2005
76;318NV;83;34;1;1;2005
77;319NV;83;34;1;1;2005
78;320NV;83;34;1;1;
79;321NV;83;34;1;1;
80;322NV;83;34;1;1;
81;323NV;83;34;1;1;
82;324NV;83;37;1;1;2006
83;325NV;83;37;1;1;
84;326NV;83;34;1;1;2005
85;327NV;83;34;1;1;2005
86;328NV;83;34;1;1;2006
87;329NV;83;34;1;1;
88;330NV;83;34;1;1;2006
89;331NV;83;34;1;1;
90;332NV;83;34;1;1;
91;333NV;83;34;1;1;
92;334NV;83;34;1;1;2006
93;335NV;83;34;1;1;2006
94;336NV;83;34;1;1;2004
95;337NV;83;34;1;1;2004
96;338NV;83;37;1;1;
97;N101DQ;33;29;1;1;2020
98;N101DU;21;172;1;1;2018
99;N101HQ;73;4;1;1;2007
100;N101NN;93;25;1;1;2013
101;N102DN;33;29;1;1;2020
102;N102DU;21;172;1;1;
103;N102HQ;73;4;1;1;2007
104;N102NN;93;25;1;1;2013
105;N102UW;93;32;1;1;1998
106;N103DU;33;172;1;1;
107;N103HQ;73;4;1;1;2007
108;N103NN;93;25;1;1;2013
109;N103SY;79;4;1;1;2014
110;N103US;93;32;1;1;1999
111;N104DU;33;172;1;1;
112;N104HQ;73;4;1;1;2007
113;N104NN;93;25;1;1;2013
114;N104UW;93;32;1;1;1999
115;N10575;89;135;1;1;2002
116;N105DU;21;172;1;1;2019
117;N105HQ;73;4;1;1;2007
118;N105NN;93;25;1;1;2013
119;N105SY;79;4;1;1;2014
120;N105UW;93;32;1;1;1999
121;N106HQ;73;4;1;1;2007
122;N106NN;93;25;1;1;2014
123;N106SY;79;4;1;1;2014
124;N107DU;21;172;1;1;2019
125;N107HQ;73;4;1;1;2007
126;N107NN;93;25;1;1;2014
127;N107SY;79;4;1;1;2014
128;N107US;16;32;1;1;1999
129;N108DQ;21;172;1;1;
130;N108HQ;73;4;1;1;2007
131;N108NN;16;25;1;1;2014
132;N108SY;79;4;1;1;2014
133;N108UW;16;32;1;1;1999
134;N109DU;21;172;1;1;2019
135;N109HQ;94;4;1;1;2007
136;N109NN;93;25;1;1;2014
137;N109SY;79;4;1;1;2014
138;N109UW;16;32;1;1;1999
139;N110AN;16;25;1;1;2014
140;N110DU;21;172;1;1;2019
141;N110HQ;94;4;1;1;2007
142;N110SY;79;4;1;1;2014
143;N110UW;16;32;1;1;1999
144;N11106;89;132;1;1;2002
145;N11107;89;132;1;1;2002
146;N11109;89;132;1;1;2002
147;N11164;89;132;1;1;2004
148;N11165;89;132;1;1;2004
149;N11184;89;132;1;1;2005
150;N11189;89;132;1;1;2005
151;N11192;89;132;1;1;2005
152;N111HQ;94;4;1;1;2007
153;N111NG;21;172;1;1;2019
154;N111US;16;32;1;1;1999
155;N111ZM;16;25;1;1;2014
156;N11206;93;80;1;1;2000
157;N112AN;16;25;1;1;2014
158;N112DU;21;172;1;1;2019
159;N112HQ;73;4;1;1;2007
160;N112US;21;32;1;1;1999
161;N113AN;16;25;1;1;2014
162;N113DQ;21;172;1;1;2019
163;N113HQ;73;4;1;1;2007
164;N113SY;79;4;1;1;2014
165;N114DU;21;172;1;1;2019
166;N114HQ;73;4;1;1;2007
167;N114NN;16;25;1;1;2014
168;N114SY;79;4;1;1;2014
169;N114UW;16;32;1;1;1999
170;N11535;89;135;1;1;2001
