id_city;name;state_abbrev
1;ATLANTA;GA
2;SPRINGFIELD;MO
3;SARASOTA/BRADENTON;FL
4;DETROIT;MI
5;NEW YORK;NY
6;CHATTANOOGA;TN
7;NORFOLK;VA
8;ROANOKE;VA
9;TAMPA;FL
10;RALEIGH/DURHAM;NC
11;BOSTON;MA
12;SOUTH BEND;IN
13;ASHEVILLE;NC
14;BRISTOL/JOHNSON CITY/KINGSPORT;TN
15;DES MOINES;IA
16;MINNEAPOLIS;MN
17;BIRMINGHAM;AL
18;BUFFALO;NY
19;BURLINGTON;VT
20;GAINESVILLE;FL
21;GRAND RAPIDS;MI
22;MYRTLE BEACH;SC
23;JACKSONVILLE;FL
24;CHICAGO;IL
25;WILMINGTON;NC
26;NEWPORT NEWS/WILLIAMSBURG;VA
27;INDIANAPOLIS;IN
28;BATON ROUGE;LA
29;MONTGOMERY;AL
30;GREENSBORO/HIGH POINT;NC
31;PITTSBURGH;PA
32;TALLAHASSEE;FL
33;GREER;SC
34;WHITE PLAINS;NY
35;AKRON;OH
36;VALPARAISO;FL
37;MILWAUKEE;WI
38;DAYTON;OH
39;SHREVEPORT;LA
40;MEMPHIS;TN
41;AUSTIN;TX
42;COLUMBUS;OH
43;ALEXANDRIA;LA
44;TULSA;OK
45;HARTFORD;CT
46;CINCINNATI;OH
47;SAN ANTONIO;TX
48;APPLETON;WI
49;CHARLESTON;SC
50;SYRACUSE;NY
51;PORTLAND;ME
52;CEDAR RAPIDS/IOWA CITY;IA
53;DALLAS/FORT WORTH;TX
54;BALTIMORE;MD
55;ELMIRA/CORNING;NY
56;LAFAYETTE;LA
57;JACKSONVILLE/CAMP LEJEUNE;NC
58;LOUISVILLE;KY
59;COLUMBIA;SC
60;JACKSON/VICKSBURG;MS
61;ROCHESTER;NY
62;WASHINGTON;DC
63;TRAVERSE CITY;MI
64;CLEVELAND;OH
65;OMAHA;NE
66;SAVANNAH;GA
67;NEWARK;NJ
68;DENVER;CO
69;PANAMA CITY;FL
70;EL PASO;TX
71;FORT LAUDERDALE;FL
72;SPOKANE;WA
73;HOUSTON;TX
74;HARLINGEN/SAN BENITO;TX
75;WICHITA;KS
76;ISLIP;NY
77;LAS VEGAS;NV
78;LOS ANGELES;CA
79;LUBBOCK;TX
80;LONG BEACH;CA
81;LITTLE ROCK;AR
82;MIDLAND/ODESSA;TX
83;KANSAS CITY;MO
84;ORLANDO;FL
85;MANCHESTER;NH
86;NEW ORLEANS;LA
87;OAKLAND;CA
88;OKLAHOMA CITY;OK
89;ONTARIO;CA
90;WEST PALM BEACH/PALM BEACH;FL
91;PORTLAND;OR
92;PHILADELPHIA;PA
93;PHOENIX;AZ
94;PENSACOLA;FL
95;PROVIDENCE;RI
96;RICHMOND;VA
97;RENO;NV
98;FORT MYERS;FL
99;SAN DIEGO;CA
100;SEATTLE;WA
101;SAN FRANCISCO;CA
102;SAN JOSE;CA
103;SAN JUAN;PR
104;SALT LAKE CITY;UT
105;SACRAMENTO;CA
106;SANTA ANA;CA
