id_route;origin_cod;dest_cod
1;ATL;SGF
2;SGF;ATL
3;SRQ;JFK
4;DTW;BTV
5;JFK;IAD
6;LGA;OMA
7;ATL;CHA
8;CHA;ATL
9;LGA;BTV
10;ORF;LGA
11;ROA;ATL
12;TPA;RDU
13;RDU;JFK
14;ATL;SBN
15;BOS;CVG
16;SBN;ATL
17;ATL;AVL
18;AVL;ATL
19;LGA;TYS
20;ATL;EVV
21;TRI;ATL
22;ATL;GSO
23;DTW;DCA
24;DSM;MSP
25;MSP;DSM
26;ATL;BTR
27;DTW;DSM
28;ATL;BHM
29;BHM;ATL
30;BUF;JFK
31;DTW;ALB
32;BTV;DTW
33;DTW;TYS
34;ATL;MYR
35;GNV;ATL
36;GRR;LGA
37;MYR;ATL
38;JAX;JFK
39;LGA;RDU
40;MSP;ORD
41;ORD;MSP
42;DTW;EVV
43;ATL;ILM
44;ILM;ATL
45;JFK;BOS
46;LGA;JAX
47;ATL;PHF
48;PHF;ATL
49;LGA;PIT
50;DTW;IND
51;IND;JFK
52;LGA;CHS
53;ATL;MGM
54;BTR;ATL
55;MGM;ATL
56;GSO;ATL
57;LGA;GRR
58;PIT;LGA
59;ATL;TLH
60;TLH;ATL
61;DTW;DFW
62;LGA;CLE
63;GSP;LGA
64;JFK;DTW
65;ATL;HPN
66;HPN;ATL
67;JFK;SAV
68;JFK;BWI
69;ATL;CAK
70;CAK;ATL
71;ATL;VPS
72;VPS;ATL
73;RDU;LGA
74;MKE;LGA
75;LGA;SAV
76;DAY;DTW
77;DTW;DAY
78;LGA;STL
79;ATL;SHV
80;BUF;DTW
81;LGA;BUF
82;SHV;ATL
83;MEM;MSP
84;MSP;MEM
85;ATL;AGS
86;AUS;DTW
87;CMH;DTW
88;DTW;CMH
89;AEX;ATL
90;ATL;TUL
91;TUL;ATL
92;JAX;LGA
93;BDL;MSP
94;MSP;BDL
95;CVG;BOS
96;SAT;MSP
97;DTW;ATW
98;DTW;CLE
99;ATW;MSP
100;CHS;BOS
101;SYR;LGA
102;ATL;ABE
103;PIT;MSP
104;AUS;MSP
105;PWM;LGA
106;BHM;DTW
107;DTW;BHM
108;LGA;BGR
109;TYS;LGA
110;MSP;OMA
111;ATL;CID
112;CID;ATL
113;IND;MSP
114;MSP;EWR
115;BUF;LGA
116;DFW;DTW
117;JFK;RDU
118;MSP;SDF
119;BWI;JFK
120;SAT;DTW
121;ATL;LFT
122;DTW;AVP
123;DTW;ELM
124;ELM;DTW
125;LFT;ATL
126;DTW;SAT
127;CVG;ORD
128;LGA;PWM
129;ORD;CVG
130;ATL;GSP
131;GSP;ATL
132;OAJ;ATL
133;SDF;MSP
134;JFK;RIC
135;LGA;ROC
136;MSP;AUS
137;CAE;ATL
138;ATL;JAN
139;JAN;ATL
140;CVG;MSP
141;ROC;LGA
142;BOS;RDU
143;LGA;MSN
144;JFK;JAX
145;MSP;XNA
146;DTW;LEX
147;MEM;LGA
148;IAD;JFK
149;DTW;AUS
150;DTW;TVC
151;TVC;DTW
152;CLE;LGA
153;LGA;CVG
154;CVG;LGA
155;LGA;MEM
156;LGA;MKE
157;TYS;MSP
158;MSP;CMH
159;OMA;MSP
160;ATL;GNV
161;RDU;PHL
162;SAV;LGA
163;PIT;DTW
164;EWR;CVG
165;MSP;CVG
166;DEN;GRR
167;DEN;HOU
168;DEN;IAD
169;DEN;IND
170;DEN;JAX
171;DEN;LAS
172;DEN;LAX
173;DEN;LBB
174;DEN;LGA
175;DEN;MCI
176;DEN;MCO
177;DEN;MDW
178;DEN;MEM
179;DEN;MKE
180;DEN;MSP
181;DEN;MSY
182;DEN;OAK
183;DEN;OKC
184;DEN;OMA
185;DEN;ONT
186;DEN;PDX
187;DEN;PHL
188;DEN;PHX
189;DEN;PIT
190;DEN;RDU
191;DEN;RNO
192;DEN;SAN
193;DEN;SAT
194;DEN;SDF
195;DEN;SEA
196;DEN;SFO
197;DEN;SJC
198;DEN;SLC
199;DEN;SMF
200;DEN;SNA
201;DEN;STL
202;DEN;TPA
203;DEN;TUL
204;DEN;TUS
205;DSM;LAS
206;DSM;PHX
207;DSM;STL
208;DTW;ATL
209;DTW;BNA
210;DTW;BWI
211;DTW;DAL
212;DTW;DEN
213;DTW;LAS
214;DTW;MDW
215;DTW;PHX
216;DTW;STL
217;ECP;BNA
218;ECP;HOU
219;ELP;AUS
220;ELP;DAL
221;ELP;DEN
222;ELP;HOU
223;ELP;LAS
224;ELP;LAX
225;ELP;PHX
226;ELP;SAT
227;EWR;AUS
228;EWR;DEN
229;EWR;FLL
230;EWR;IND
231;EWR;MCO
232;EWR;MDW
233;EWR;PHX
234;EWR;SAN
235;EWR;STL
236;FLL;ALB
237;FLL;ATL
238;FLL;AUS
239;FLL;BDL
240;FLL;BNA
241;FLL;BUF
242;FLL;BWI
243;FLL;CMH
244;FLL;DAL
245;FLL;DCA
246;FLL;DEN
247;FLL;EWR
248;FLL;HOU
249;FLL;IAD
250;FLL;IND
251;FLL;ISP
252;FLL;JAX
253;FLL;MCI
254;FLL;MCO
255;FLL;MDW
256;FLL;MKE
257;FLL;MSY
258;FLL;PHL
259;FLL;PHX
260;FLL;PIT
261;FLL;PVD
262;FLL;RDU
263;FLL;SAT
264;FLL;SJU
265;FLL;STL
266;FLL;TPA
267;GEG;BOI
268;GEG;DEN
269;GEG;LAS
270;GEG;OAK
271;GEG;PHX
272;GEG;SJC
273;GEG;SMF
274;GRR;BWI
275;GRR;DEN
276;GRR;MDW
277;HOU;ABQ
278;HOU;ATL
279;HOU;AUS
280;HOU;BHM
281;HOU;BNA
282;HOU;BOS
283;HOU;BUR
284;HOU;BWI
285;HOU;CHS
286;HOU;CLT
287;HOU;CMH
288;HOU;CRP
289;HOU;DAL
290;HOU;DCA
291;HOU;DEN
292;HOU;ECP
293;HOU;ELP
294;HOU;FLL
295;HOU;HRL
296;HOU;IND
297;HOU;JAX
298;HOU;LAS
299;HOU;LAX
300;HOU;LGA
301;HOU;MAF
302;HOU;MCI
303;HOU;MCO
304;HOU;MDW
305;HOU;MEM
306;HOU;MKE
307;HOU;MSY
308;HOU;OAK
309;HOU;OKC
310;HOU;OMA
311;HOU;PHX
312;HOU;PIT
313;HOU;PNS
314;HOU;RDU
315;HOU;SAN
316;HOU;SAT
317;HOU;SDF
318;HOU;SJC
319;HOU;SLC
320;HOU;SNA
321;HOU;STL
322;HOU;TPA
323;HOU;TUL
324;HRL;AUS
325;HRL;HOU
326;IAD;ATL
327;IAD;DEN
328;IAD;FLL
329;IAD;MCO
330;ICT;LAS
331;ICT;PHX
332;ICT;STL
333;IND;ATL
334;IND;BOS
335;IND;BWI
336;IND;DAL
337;IND;DEN
338;IND;EWR
339;IND;FLL
340;IND;HOU
341;IND;LAS
342;IND;LAX
343;IND;MCI
344;IND;MCO
345;IND;MDW
346;IND;OAK
347;IND;PHX
348;IND;RSW
349;IND;TPA
350;ISP;BWI
351;ISP;FLL
352;ISP;MCO
353;ISP;PBI
354;ISP;TPA
355;JAX;ATL
356;JAX;BNA
357;JAX;BWI
358;JAX;DEN
359;JAX;FLL
360;JAX;HOU
361;JAX;MDW
362;LAS;ABQ
363;LAS;AMA
364;LAS;ATL
365;LAS;AUS
366;LAS;BHM
367;LAS;BNA
368;LAS;BOI
369;LAS;BUF
370;LAS;BUR
371;LAS;BWI
372;LAS;CLE
373;LAS;CMH
374;LAS;DAL
375;LAS;DEN
376;LAS;DSM
377;LAS;DTW
378;LAS;ELP
379;LAS;GEG
380;LAS;HOU
381;LAS;ICT
382;LAS;IND
383;LAS;LAX
384;LAS;LBB
385;LAS;LGB
386;LAS;LIT
387;LAS;MAF
388;LAS;MCI
389;LAS;MCO
390;LAS;MDW
391;LAS;MKE
392;LAS;MSY
393;LAS;OAK
394;LAS;OKC
395;LAS;OMA
396;LAS;ONT
397;LAS;PDX
398;LAS;PHL
399;LAS;PHX
400;LAS;PIT
401;LAS;RDU
